experimentalGenes	Roadmap	ABC
BLK	TRUE	TRUE
CD40	TRUE	TRUE
CD83	TRUE	TRUE
ETS1	TRUE	TRUE
ICOSLG	TRUE	TRUE
IFNGR2	TRUE	TRUE
IL10	TRUE	TRUE
IL6ST	TRUE	TRUE
ITGAL	TRUE	TRUE
PFKFB3	TRUE	TRUE
PPIF	TRUE	TRUE
SEPHS2	TRUE	TRUE
MYC	TRUE	TRUE
PTGER4	TRUE	TRUE
PVT1-TSS1	FALSE	FALSE
CCDC26	FALSE	TRUE
SUOX	TRUE	TRUE
GATA1	TRUE	TRUE
HDAC6	TRUE	TRUE
PIM2	TRUE	TRUE
RBM38	TRUE	TRUE
RAE1	TRUE	TRUE
SMIM1	FALSE	TRUE
LRRC47	TRUE	TRUE
CEP104	TRUE	TRUE
FIG4	TRUE	TRUE
CD164	TRUE	TRUE
ALAS2	TRUE	TRUE
UROS	TRUE	TRUE
EPB41	TRUE	TRUE
KCNN4	TRUE	TRUE
MYO1D	TRUE	TRUE
TMEM98	TRUE	TRUE
SPACA3	TRUE	TRUE
HBBP1	FALSE	TRUE
HBG1	TRUE	TRUE
HBG2	TRUE	TRUE
HBE1	TRUE	TRUE
HBD	TRUE	TRUE
PIM1	TRUE	TRUE
FADS1	TRUE	TRUE
FTH1	TRUE	TRUE
PRKAR2B	TRUE	TRUE
REEP5	TRUE	TRUE
CNDP2	TRUE	TRUE
ZADH2	TRUE	TRUE
MRPS23	FALSE	TRUE
SMG8	TRUE	TRUE
MYB	TRUE	TRUE
EZH1	TRUE	TRUE
PRDX2	TRUE	TRUE
C19orf43	TRUE	TRUE
FUT1	TRUE	TRUE
H1FX	TRUE	TRUE
RNASEH2A	TRUE	TRUE
HNRNPA1	TRUE	TRUE
DHPS	TRUE	TRUE
FTL	TRUE	TRUE
RPN1	FALSE	TRUE
DNASE2	TRUE	TRUE
PPP1R15A	TRUE	TRUE
KLF1	TRUE	TRUE
RAD23A	TRUE	TRUE
NFE2	TRUE	TRUE
BCAT2	TRUE	TRUE
RAB7A	TRUE	TRUE
WDR83OS	FALSE	TRUE
LYL1	TRUE	TRUE
COPZ1	TRUE	TRUE
PQBP1	FALSE	TRUE
PLP2	TRUE	TRUE
NUCB1	TRUE	TRUE
CNBP	TRUE	TRUE
JUNB	TRUE	TRUE
ITGA5	TRUE	TRUE
BAX	TRUE	TRUE
SEC61A1	TRUE	TRUE
CALR	TRUE	TRUE
